hospital_id,hospital_name,street,city,governorate,region,hospital_type,contact_number,hospital_capacity,current_occupancy,emergency_services,ICU_capacity,ambulance_count,services,departments
84f84087-902c-47b0-930b-78a2336ee56b,Cairo General Hospital,Tahrir Square,Cairo,Cairo,Urban,private,+209006001988,302,2,True,43,9,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Cardiology', 'Psychiatry']"
0f3a5e1d-02c0-472d-8fc7-1af75bab1e59,Kasr Al-Ainy Hospital,Kasr Al-Ainy Street,Cairo,Cairo,Urban,public,+209235023995,466,43,True,22,7,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Urology']"
1ba5b205-fe89-4163-9ae4-c0d2e0262246,El-Demerdash Hospital,Abbasia Street,Cairo,Cairo,Urban,private,+209131381582,425,17,True,38,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Urology', 'Ophthalmology']"
ab8d0f48-c710-4a30-8846-180bc63321e3,Ain Shams University Hospital,Ramses Street,Cairo,Cairo,Urban,university,+204380307139,80,6,True,38,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Cardiology', 'Psychiatry', 'Orthopedics', 'Physical Therapy']"
888a951d-2937-4167-a923-857cb5b90c87,Helwan General Hospital,Helwan Road,Helwan,Cairo,Urban,private,+206420269031,97,49,True,13,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Psychiatry', 'ENT', 'Urology']"
10e02a7a-0907-4686-9205-ab89a961f8d0,Giza Central Hospital,Corniche Road,Giza,Giza,Upper Egypt,private,+201683056509,351,1,True,10,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Psychiatry']"
21edb0f8-bf19-4035-97ee-fa53f2ab714e,Imbaba General Hospital,Imbaba Street,Imbaba,Giza,Upper Egypt,private,+201562973379,96,24,True,39,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Psychiatry', 'Dermatology', 'Ophthalmology']"
31e6229d-419a-4a9a-8894-be6b88722137,Warraq Central Hospital,Warraq Main Road,Warraq,Giza,Upper Egypt,private,+201745514728,403,43,True,32,4,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Orthopedics', 'Neurology', 'Psychiatry']"
9015d1e2-e22b-4357-923e-f720eb4905bd,Alexandria Medical Center,Corniche Road,Alexandria,Alexandria,Lower Egypt,public,+205107999463,442,39,True,25,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Dermatology']"
ece48f1e-e75b-40fb-8f82-9690982f03bc,Alexandria International Medical Center,Zamalek Street,Alexandria,Alexandria,Lower Egypt,private,+206185923946,63,37,True,48,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Psychiatry']"
