medicine_id,diagnosis_id,name,compound,uses,side_effects,department
33937d55-a37e-4545-a0ee-e40ba64cdaae,7acc4863-731b-4294-a26a-f21a37ddac9b,Amlodipine,Amlodipine besylate,Lower blood pressure,"Swelling, dizziness, fatigue",Cardiology
ac1c5d09-23e6-44b4-8543-126e597b41d9,7acc4863-731b-4294-a26a-f21a37ddac9b,Lisinopril,Lisinopril,Treat high blood pressure and heart failure,"Cough, headache, dizziness",Cardiology
b3f87641-d3a6-4891-9aea-413fa8275775,7acc4863-731b-4294-a26a-f21a37ddac9b,Hydrochlorothiazide,Hydrochlorothiazide,Diuretic to reduce blood pressure,"Electrolyte imbalance, dehydration",Cardiology
d393b0f8-fead-4200-ad54-97c4c627b4ef,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Aspirin,Acetylsalicylic Acid,Prevent blood clot formation,"Stomach upset, bleeding",Cardiology
d4f0a94b-2dc5-4f58-a578-2158c90e7c47,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Clopidogrel,Clopidogrel bisulfate,Prevent clotting,"Bruising, bleeding",Cardiology
073eb937-22fb-496d-9533-9213090f89e2,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Nitroglycerin,Nitroglycerin,Relieve chest pain,"Headache, low blood pressure",Cardiology
6188aa26-a786-4a86-a16b-e06553920c5a,220e2300-68fc-4c02-9ab9-885d12574c61,Amiodarone,Amiodarone hydrochloride,Control abnormal heart rhythms,"Liver toxicity, thyroid issues",Cardiology
79d269fe-276f-431f-ac5a-6b813812d8d0,220e2300-68fc-4c02-9ab9-885d12574c61,Metoprolol,Metoprolol tartrate,Beta-blocker to regulate heart rate,"Fatigue, dizziness",Cardiology
295d8269-65a7-4252-9be6-b304b50dcfe5,220e2300-68fc-4c02-9ab9-885d12574c61,Flecainide,Flecainide acetate,Treat serious arrhythmias,"Dizziness, blurred vision",Cardiology
c121b290-09de-430c-b6c3-fafadd11a05a,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Furosemide,Furosemide,Diuretic to reduce fluid overload,"Electrolyte imbalance, dehydration",Cardiology
6a2829c9-3b33-4f3a-a3d1-5f4d5272218e,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Carvedilol,Carvedilol,Beta-blocker for heart function,"Fatigue, low blood pressure",Cardiology
e7109eda-9675-41ab-b2cc-468dd6fb340b,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Spironolactone,Spironolactone,Diuretic and potassium-sparing,"Hyperkalemia, dizziness",Cardiology
