,drug_name,condition,nltkRScore,useful_count_encoded
0,3421,500,2,2
1,1536,80,3,2
2,1983,175,3,1
3,2446,175,3,1
4,553,613,3,2
5,715,170,1,2
6,1874,314,2,1
7,284,174,1,2
8,1779,324,1,1
9,1263,175,3,1
10,3272,542,3,1
11,1805,273,3,2
12,2554,251,1,1
13,988,249,3,1
14,2302,175,3,1
15,1915,601,3,1
16,3332,867,1,1
17,214,346,1,2
18,1826,174,2,1
19,2317,223,1,1
20,333,387,3,1
21,3297,474,3,2
22,1272,175,1,1
23,1256,746,3,1
24,3250,874,1,1
25,384,216,1,1
26,1145,423,1,2
27,922,80,1,1
28,327,637,3,2
29,1658,541,1,1
30,3000,273,3,1
31,3274,633,1,1
32,3250,874,1,1
33,3464,484,3,1
34,2170,622,1,2
35,1104,241,1,1
36,2187,633,1,1
37,2194,183,1,1
38,3327,723,3,2
39,1393,874,1,1
40,828,601,3,1
41,773,637,1,2
42,2084,555,3,2
43,3451,273,1,1
44,1848,406,2,1
45,1848,406,3,2
46,3138,174,1,1
47,3168,630,1,1
48,1083,867,1,2
49,1103,283,3,2
50,1714,80,2,1
51,552,633,1,2
52,2792,143,1,1
53,2428,596,1,1
54,284,759,3,2
55,2769,308,3,1
56,1844,174,3,2
57,555,789,3,1
58,1668,175,3,1
59,1142,133,1,1
60,1096,175,3,1
61,552,633,1,2
62,1668,175,2,1
63,2381,175,1,1
64,2681,183,3,1
65,3305,87,1,1
66,1142,273,3,2
67,1487,175,3,1
68,1266,87,3,1
69,1149,406,3,1
70,771,343,3,2
71,1060,242,3,1
72,213,244,3,2
73,1272,175,3,1
74,2302,175,3,1
75,3005,325,1,1
76,1924,175,3,1
77,1848,406,1,2
78,3000,637,3,2
79,2473,849,1,1
80,3531,273,1,1
81,2381,175,1,1
82,1874,175,3,1
83,2595,241,3,2
84,2272,860,2,1
85,1918,174,3,2
86,2481,225,3,2
87,715,170,3,2
88,1246,151,3,2
89,3079,175,1,1
90,346,783,3,2
91,2179,874,1,1
92,2618,314,1,2
93,180,839,1,2
94,1406,522,1,1
95,284,273,1,2
96,2381,175,3,1
97,3074,87,3,2
98,1415,134,1,2
99,1996,867,1,1
100,1978,759,1,1
101,88,87,3,1
102,520,749,1,1
103,222,419,3,1
104,1930,31,1,1
105,1901,484,2,1
106,2165,133,1,2
107,48,633,1,1
108,1737,87,2,1
109,2911,743,3,1
111,1819,174,3,2
112,1874,175,3,1
113,557,133,1,1
114,2738,133,1,2
115,1417,80,1,2
116,1263,175,3,1
117,1756,175,3,1
118,1872,192,1,1
119,2586,601,1,1
120,660,784,1,1
121,361,175,1,1
122,1272,175,3,1
123,2965,601,1,1
124,772,602,1,1
125,2043,318,3,2
126,1263,175,3,1
127,84,87,3,1
128,2308,789,1,2
129,988,249,1,1
130,2246,613,3,1
131,2852,492,3,2
132,948,175,3,1
133,2400,174,3,1
134,2488,630,3,2
135,1334,185,1,1
136,1204,87,3,1
137,1272,175,3,1
138,1874,175,3,1
139,1204,87,1,2
140,21,87,1,1
141,3541,637,1,2
142,967,273,3,2
143,1874,175,1,1
144,1779,770,3,1
145,1103,283,1,1
146,2187,225,1,2
147,1985,583,3,1
148,1406,273,2,1
149,2580,768,3,2
150,1272,175,1,1
151,555,273,3,1
152,1266,175,1,1
153,2302,175,1,1
154,1928,538,3,1
155,1272,175,1,2
156,3168,170,3,1
157,1944,103,1,1
158,625,170,3,2
159,3482,522,3,2
160,2164,175,1,1
161,1264,175,3,2
162,2736,122,1,1
163,593,633,1,1
164,1616,861,1,2
165,1949,601,1,2
166,1693,282,3,1
167,3334,273,3,2
168,1976,318,1,1
169,1874,175,1,1
170,3577,555,3,2
171,2130,874,1,1
172,2425,633,3,1
173,84,87,3,1
174,2750,84,1,2
175,1978,174,1,2
176,2586,889,1,2
177,1901,243,1,2
178,1017,874,3,2
179,1639,188,3,2
180,1915,283,3,1
181,2822,175,1,1
182,555,273,3,1
183,1917,419,3,2
184,1266,175,3,1
185,1172,283,3,2
186,2253,655,1,1
187,230,396,1,1
188,2164,175,3,1
189,2114,148,1,2
190,2242,244,1,2
191,180,133,2,1
192,3032,175,1,1
193,1858,871,1,1
194,2750,52,1,1
195,3378,314,3,1
196,449,249,1,1
197,2302,175,1,1
198,3117,494,1,1
199,1155,541,1,1
200,520,749,3,1
201,1231,369,2,1
202,1107,142,3,2
203,2114,419,3,1
204,2677,683,3,2
205,1472,420,3,1
206,943,174,3,2
207,3222,454,1,1
208,3629,541,1,1
209,3525,80,3,1
210,2043,84,3,1
211,3250,874,3,2
212,3052,87,3,1
213,1140,387,3,1
214,1756,175,1,1
216,2302,175,3,1
217,2448,175,1,1
218,146,159,3,2
219,3370,249,2,1
220,1406,273,1,1
221,3476,283,3,1
222,1969,484,1,1
223,1264,175,1,1
224,1265,175,1,1
225,3068,406,1,1
226,3297,273,1,2
227,828,601,1,2
228,2701,273,3,1
230,2234,746,1,2
231,1874,314,1,1
232,1668,175,3,1
233,2052,622,3,2
234,671,779,1,1
235,1231,369,3,1
236,2706,144,1,1
237,1265,175,3,2
238,1446,426,1,2
239,2837,541,3,1
240,1873,273,1,2
241,3570,42,1,1
242,3422,414,1,1
243,758,162,1,1
244,539,133,3,1
245,2617,314,1,1
247,3250,874,1,1
248,1916,80,3,2
249,1915,283,3,1
250,1231,133,1,1
251,1446,633,1,1
252,2778,889,3,2
253,2895,541,1,2
254,1915,283,3,1
255,3606,87,3,1
256,967,273,3,2
257,514,290,3,1
258,3482,522,3,2
259,881,273,3,2
260,3625,637,1,1
261,3254,555,3,2
262,1930,52,1,1
264,2971,175,2,2
265,1487,175,1,1
266,234,80,1,1
267,1895,175,1,1
268,2130,874,1,1
269,1296,283,1,2
270,48,633,3,2
272,3451,484,1,1
273,213,484,1,2
274,506,601,3,2
275,1878,389,1,2
276,614,324,3,1
277,1083,87,3,2
278,95,889,3,1
279,565,283,3,1
280,556,601,3,2
281,1393,874,3,2
282,2736,122,2,1
283,828,601,3,1
284,21,87,3,1
285,3515,633,3,1
286,3476,283,3,2
287,2604,311,1,1
288,49,225,3,1
289,1874,175,1,1
290,2178,874,3,1
291,1266,175,1,1
292,2652,743,1,2
293,1266,175,1,2
294,246,454,3,2
295,1266,175,3,1
296,3476,283,2,1
297,1266,87,3,1
298,2326,867,1,1
299,2120,272,1,1
300,3614,174,1,1
301,28,393,1,1
302,2253,655,3,1
303,2043,175,3,1
304,2383,444,1,1
305,2197,192,3,1
306,2091,225,1,2
307,654,633,3,2
308,306,541,2,1
309,2185,103,3,1
310,2944,893,1,1
311,328,80,1,1
312,1231,273,3,2
313,1083,87,1,1
314,1844,174,1,2
315,245,186,1,2
316,1901,484,1,2
318,2302,175,1,1
319,1108,133,1,2
320,2009,183,3,2
321,1334,633,1,2
322,2165,133,1,2
323,180,133,1,2
324,3451,273,2,1
325,1874,314,1,1
326,1830,165,1,1
327,1915,601,3,1
328,2258,273,1,2
329,2150,346,1,2
330,1848,406,3,1
331,2486,633,2,1
332,3222,454,2,1
334,3625,273,1,2
335,384,192,3,2
336,1976,871,1,1
337,1263,175,3,1
338,1876,175,1,1
339,1272,175,3,1
340,2515,175,3,1
341,1862,867,1,2
342,1265,175,3,1
343,727,298,1,2
344,2965,601,1,1
345,359,778,2,1
346,2971,175,3,1
347,64,874,3,1
348,828,601,3,2
349,2085,675,3,2
350,3214,874,1,1
351,2617,314,3,1
352,1263,175,3,1
353,1874,175,1,1
354,2958,174,3,1
355,344,778,1,2
356,948,175,2,1
357,1883,133,1,2
358,3166,472,1,1
359,3000,602,1,1
360,3297,273,3,2
361,2664,419,3,1
362,3166,472,3,1
363,1911,461,3,2
364,2996,369,3,2
365,2515,175,3,1
366,715,325,3,2
367,2302,175,1,1
368,3212,609,3,2
369,1848,406,2,2
370,1103,283,1,1
371,3419,555,1,2
372,1272,175,3,1
373,2165,133,3,2
374,234,80,3,1
375,2341,633,1,1
376,1263,175,1,1
377,1858,318,1,2
378,2778,889,1,2
379,2722,710,1,1
380,821,80,1,2
381,2392,175,3,1
382,234,80,3,1
383,3095,80,3,1
384,1874,175,1,1
385,556,601,3,2
386,1756,175,3,1
387,1204,87,1,1
388,3068,406,1,2
390,3000,134,1,2
391,2224,356,2,1
392,948,175,1,1
393,2043,84,1,2
394,3168,170,3,1
395,3318,87,1,1
396,1524,318,1,1
397,2302,175,3,1
398,2785,174,1,2
399,3220,454,3,1
400,1167,575,3,1
401,2109,273,1,2
402,3272,346,1,2
403,1231,273,1,2
404,82,410,1,2
405,1908,243,1,1
406,2778,889,1,2
407,2453,622,3,2
408,3008,170,1,1
409,214,474,3,1
410,2112,366,1,1
411,1679,383,1,1
412,831,175,1,1
413,2037,547,3,2
414,2246,613,1,2
415,3117,867,1,1
416,1489,552,3,2
417,214,542,1,2
418,555,273,3,2
419,948,84,3,2
420,2130,874,3,1
421,1826,174,3,1
422,2135,175,3,1
423,2326,867,1,1
424,1792,637,1,2
425,1231,133,3,2
426,1272,175,1,1
427,2326,867,1,2
428,791,249,3,1
429,2165,474,3,2
430,2895,541,3,1
431,1266,175,1,1
432,1296,283,1,2
433,1204,87,1,1
434,731,134,1,2
435,798,251,1,1
436,1908,243,3,1
437,1363,393,1,1
438,1142,133,3,1
439,1096,175,1,1
440,1272,175,3,1
441,556,601,3,1
442,1792,637,1,2
443,3626,474,3,1
444,3533,273,1,2
445,2114,419,3,2
446,773,133,3,2
447,755,683,1,1
448,1883,273,3,2
449,2785,474,3,2
450,1265,175,3,1
451,284,153,3,2
452,1104,241,1,1
453,1668,175,3,1
454,743,627,3,1
455,1108,225,1,2
456,404,863,3,1
457,3437,789,3,2
458,2381,175,3,2
459,1263,175,3,1
460,404,867,3,1
461,231,863,1,1
462,1895,175,3,1
463,1874,314,3,2
464,3266,630,1,2
465,1406,346,1,2
466,2302,175,3,1
467,1779,770,3,2
468,1619,133,1,2
469,498,175,1,1
470,2803,474,1,1
471,758,813,1,1
472,2091,225,2,1
473,1680,722,1,1
474,2795,326,3,2
475,982,356,1,2
476,2701,273,1,1
477,2996,174,3,1
478,1663,484,3,1
479,2375,633,1,2
480,1633,633,2,1
482,2514,803,1,1
483,3078,223,1,1
484,1874,314,3,1
485,3315,87,1,1
486,3619,572,1,1
487,3460,508,3,1
488,2617,314,1,1
489,725,867,1,2
490,1874,314,1,1
491,3625,273,1,2
492,1993,225,1,2
493,1083,749,3,2
494,365,552,3,2
495,3032,175,1,1
496,2481,633,1,1
497,2617,314,3,2
498,1418,80,1,2
499,1263,175,3,1
500,1930,175,3,1
501,3000,273,1,2
502,1265,175,3,1
503,821,80,1,1
504,1761,175,3,1
505,1874,84,3,2
506,180,133,1,2
507,1654,125,1,2
508,3541,637,3,2
509,1001,133,1,2
510,488,241,3,1
511,2130,874,1,1
512,1231,369,1,1
513,2358,0,1,1
514,2187,225,1,2
515,1930,175,1,1
516,3135,474,3,2
517,2109,80,3,2
518,1296,283,1,2
519,2886,639,1,1
520,773,637,1,2
521,2302,175,3,1
522,3076,175,3,2
523,3464,484,1,1
524,3076,175,1,1
525,2883,639,1,1
526,2392,175,3,1
527,231,162,3,1
528,1263,175,3,1
529,1915,601,3,1
530,1264,175,1,1
531,2617,314,3,1
532,3018,746,3,2
533,359,712,1,2
534,1275,622,3,1
535,1007,633,3,1
536,1446,133,3,2
537,1027,572,3,2
538,457,332,2,2
539,556,601,1,1
540,2449,175,3,1
541,2971,175,1,1
542,1642,633,1,1
543,3125,541,1,1
544,2164,175,1,1
545,2635,241,1,2
546,1265,175,3,1
547,49,633,1,1
548,1761,175,1,1
549,2738,653,3,2
550,1930,0,3,1
551,3549,601,3,1
552,1494,552,1,2
553,654,633,3,2
554,322,133,1,2
555,773,591,1,1
556,1104,241,1,1
557,2443,175,1,1
558,150,421,3,2
559,1265,175,1,1
560,2091,225,1,2
561,1265,175,3,1
562,2302,175,3,1
563,3451,273,1,1
564,3101,122,2,1
565,1874,84,1,1
566,3334,522,1,2
567,3076,175,1,1
568,2449,0,3,1
569,3482,273,3,2
570,3437,789,3,1
571,881,133,1,2
572,1261,175,1,1
573,614,324,1,1
574,404,162,1,2
575,3665,683,1,2
576,2778,889,3,1
577,488,241,1,1
578,1952,633,1,2
579,828,889,1,1
580,1261,175,1,1
581,2120,162,1,1
582,1874,314,1,1
583,1547,572,1,1
584,3173,633,3,2
585,1083,216,2,1
586,1924,175,1,1
587,1787,633,1,1
588,2585,889,3,2
589,3117,867,3,1
590,1141,273,3,1
591,2109,80,3,2
592,1272,175,3,1
594,2120,228,1,1
595,1378,346,2,2
596,2935,863,3,2
597,557,133,1,1
598,1117,170,3,2
599,21,87,3,2
600,3236,860,1,2
602,2424,633,1,1
603,3654,273,3,2
605,3445,251,1,1
606,1924,175,3,1
607,3451,273,1,1
608,2736,122,3,1
609,672,789,1,1
610,3102,613,3,2
611,3297,346,3,2
612,3626,474,3,2
613,2161,743,1,2
614,3399,867,1,1
615,3471,569,1,1
616,403,867,1,1
617,1265,175,1,1
618,949,175,3,1
619,2738,169,1,2
620,650,162,3,1
621,2805,124,1,1
622,1272,175,3,1
623,21,87,1,1
624,1108,346,1,1
625,3102,613,3,2
626,2965,601,2,1
627,3318,175,1,1
628,3350,283,3,1
629,2565,633,1,2
630,1737,87,3,1
631,1874,314,1,1
632,3027,283,1,2
633,1426,143,3,1
634,3117,867,1,1
635,3533,522,1,2
636,2481,633,1,2
637,1265,175,3,1
638,3451,273,2,2
639,881,273,2,1
640,1083,87,1,1
641,967,273,1,1
642,552,633,3,2
643,2586,889,3,2
644,199,474,1,2
645,426,889,1,2
647,1616,746,1,2
648,1263,175,3,1
649,1017,874,3,2
650,3481,240,1,1
651,1864,324,1,1
652,2130,874,1,1
653,2164,84,3,1
654,3570,175,1,1
655,2585,889,1,1
656,1156,311,3,2
657,715,325,3,2
658,7,680,3,1
659,1142,273,3,1
660,1272,175,1,1
661,922,80,1,2
662,1108,273,3,2
663,933,249,2,1
664,402,101,3,2
665,1917,419,1,2
666,1551,721,1,1
667,3422,233,2,1
668,379,103,1,1
669,426,889,3,2
670,1098,434,3,2
671,2617,314,1,2
672,1978,174,1,2
673,2595,241,1,2
674,1901,243,1,2
675,128,20,1,1
676,1108,273,1,2
677,721,127,3,1
678,2862,273,1,2
679,2716,400,1,1
680,3625,273,1,2
681,1779,770,1,2
683,1901,243,2,2
684,641,778,1,1
685,3283,633,1,2
686,1826,174,3,2
687,3305,87,1,2
688,2346,555,1,2
689,2187,225,3,2
690,1582,721,3,2
691,3189,552,3,1
692,3437,789,3,1
693,1949,601,3,2
694,922,80,3,2
695,45,393,3,1
696,1231,602,3,1
697,2400,758,3,1
698,3000,174,1,1
699,451,87,3,1
700,3032,175,1,1
701,1874,175,1,1
702,3422,233,3,1
703,2102,622,1,1
704,2177,874,3,1
705,759,87,2,1
706,1104,241,1,1
707,1083,216,1,1
708,758,600,3,1
709,1382,747,3,1
710,84,87,3,1
711,2345,175,3,1
712,988,249,1,2
713,3076,175,3,1
714,1787,633,1,1
715,1246,151,1,1
716,88,87,3,1
717,1265,175,1,1
718,1261,175,3,1
719,1265,175,1,1
720,194,143,3,1
721,2785,474,3,2
722,1406,134,1,2
723,2443,175,1,1
724,2386,618,1,2
725,199,474,1,2
726,3482,273,1,2
727,2785,273,1,1
728,1128,314,2,1
730,1035,474,3,1
731,2290,588,1,2
732,1261,175,3,1
733,1155,541,1,1
734,3624,541,1,1
735,2153,175,3,1
736,556,601,3,2
737,1204,87,3,1
738,2164,175,3,1
739,1264,175,3,1
740,1879,860,3,2
